No;Produk;Ulasan;Rating
107;Handsfree headset hf earphone JBL PM-02 super bass packing import;headset rada kaga bunyi sebelah;4
108;Handsfree headset hf earphone JBL PM-02 super bass packing import;beli 10, ada 2 yg cacat suaranya kecil sebelah, padahal udah berulang kali beli disini QCnya bagus;4
109;Handsfree headset hf earphone JBL PM-02 super bass packing import;So so lah hoki hokian, kadang dpt yg suara nya lumayan tp kali ini zonk mendem suaranya berasa didalem aer. Next time gacha lg ;4
110;Handsfree headset hf earphone JBL PM-02 super bass packing import;Alhamdulillah paket dah nyampe, pesan 2 oc nya namun sayang yg satunya mati sebelah.;4
111;Handsfree headset hf earphone JBL PM-02 super bass packing import;the best;4
112;Handsfree headset hf earphone JBL PM-02 super bass packing import;berfungsi. semoga awet;4
113;Handsfree headset hf earphone JBL PM-02 super bass packing import;lumayanlah, tks;4
114;Handsfree headset hf earphone JBL PM-02 super bass packing import;barang bagus, suara bisa dengar. tetapi masalah nya pada button headset mic sensitif jadi gak enak untuk dengar musik;4
115;Handsfree headset hf earphone JBL PM-02 super bass packing import;produk mantap, packing sangat rapi, sangat rekomended;5
116;Handsfree headset hf earphone JBL PM-02 super bass packing import;Suaranya bas kerenn abissss, harga segitu suara membahana bass nya, rekomendedd barang sipp makasih kak, puassss;5
117;Handsfree headset hf earphone JBL PM-02 super bass packing import;ok;5
118;Handsfree headset hf earphone JBL PM-02 super bass packing import;lumayan jernihh;5
119;Handsfree headset hf earphone JBL PM-02 super bass packing import;ok, mantap;5
120;Handsfree headset hf earphone JBL PM-02 super bass packing import;pengiriman cepat, suara ok, kualitas ok;5
121;Handsfree headset hf earphone JBL PM-02 super bass packing import;bagus ngebas mudah2an awe;5
122;Handsfree headset hf earphone JBL PM-02 super bass packing import;mantap rekomend harga murah tapi kualitas terbaik;5
123;Handsfree headset hf earphone JBL PM-02 super bass packing import;mantap..barang sesuai pesanan..rekomen seller;5
124;Handsfree headset hf earphone JBL PM-02 super bass packing import;keren;5
125;headset samsung J1ace original handsfree earphone j1ace vietnam;beli 5 ndak ada satupun yang ok, suara tidak ok kalau buat telepon atau meeting. mengganggu lawan bicara, berdenging di lawan bicara;1
126;headset samsung J1ace original handsfree earphone j1ace vietnam;gak recommend beli disini. Jelek earphonenya bunyi kresek2 pas dipake;1
127;headset samsung J1ace original handsfree earphone j1ace vietnam;cuma hidup sebelah;1
128;headset samsung J1ace original handsfree earphone j1ace vietnam;Pelapak / Penjual Tidak KOOPORATIF dalam selesaikan masalah;1
129;headset samsung J1ace original handsfree earphone j1ace vietnam;Baru dipake langsung copot... Kwalitas buruk;1
130;headset samsung J1ace original handsfree earphone j1ace vietnam;headset mati satu;1
131;headset samsung J1ace original handsfree earphone j1ace vietnam;"toko tidak amanah walau pengiriman cepat, saya sudh memberikan keterangan baik di pesanan produk maupun di chat privasi untuk ""mengecek dulu kecacatan produk sebelum di kirim"", tp yg di kirim 1 produk cacat, suara hanya keluar di sebelah kiri saja (produk yg kiri). produk sebelah kanan tidak ada mslh hanya suara nya tdk jernih ketauan banget bukan ori tp keterangan produk nya ori 100%. untuk saya beli 2 walau mengecewakan sekali. soal kecepatan pengirimannya bagus, karena saya pakai sameday di pick up cepat";1
132;headset samsung J1ace original handsfree earphone j1ace vietnam;mic tidak berfungsi dengan baik, bunyi berisik saat record perekaman.;1
133;headset samsung J1ace original handsfree earphone j1ace vietnam;Beli 3, semua nya suara nya gk ada yang bener, Digoyang dikit mati, bahan nya ringkih sekali Not recommend;1
134;headset samsung J1ace original handsfree earphone j1ace vietnam;aneh baru kali ini belanja di tokped barang nya ga dateng tapi notifikasi sudah sampe udah lewat dari estimasi;1
135;headset samsung J1ace original handsfree earphone j1ace vietnam;barang bagus;2
136;headset samsung J1ace original handsfree earphone j1ace vietnam;dipakai buat telpon nya ada suara gresek;2
137;headset samsung J1ace original handsfree earphone j1ace vietnam;iklan nya terlalu lebih ...;2
138;headset samsung J1ace original handsfree earphone j1ace vietnam;suara ngadat.kadang bunyi kadang engga...;2
139;headset samsung J1ace original handsfree earphone j1ace vietnam;banyak handset yg suaranya pecah, dan ada juga yg tidak ada suara;2
140;headset samsung J1ace original handsfree earphone j1ace vietnam;suara kadang aneh, belum 24 jam udah rusak. ada harga ada barang lah ya;2
141;headset samsung J1ace original handsfree earphone j1ace vietnam;kualitas sesuai harga;2
142;headset samsung J1ace original handsfree earphone j1ace vietnam;tidak bisa dipake semua;2
143;headset samsung J1ace original handsfree earphone j1ace vietnam;beli 5 unit.. sayangnya kelima2nya hanya 1 yang ada ssuara. 1 laagi zonk;2
144;headset samsung J1ace original handsfree earphone j1ace vietnam;barang 1 cacat;2
145;headset samsung J1ace original handsfree earphone j1ace vietnam;ada sedikit copot bagian luarnya, sisanya aman dan bisa dipake;3
146;headset samsung J1ace original handsfree earphone j1ace vietnam;Harga sesuai kualitas, bassnya kurang yess tp berfungsi;3
147;headset samsung J1ace original handsfree earphone j1ace vietnam;beli 2 yg 1 nya rusak;3
148;headset samsung J1ace original handsfree earphone j1ace vietnam;cuma nyala sebelah aja;3
149;headset samsung J1ace original handsfree earphone j1ace vietnam;paket terlambat datang dari ketentuan yg dijanjikan, mic nyaa tidak berfungsi jika di tancapkan full;3
150;headset samsung J1ace original handsfree earphone j1ace vietnam;headset kiri volumenya kecil dan mic terlalu sensitif;3
151;headset samsung J1ace original handsfree earphone j1ace vietnam;bukan original ngakunya original;3
152;headset samsung J1ace original handsfree earphone j1ace vietnam;barang ok sih..tp ada yg rusak satu..;3
153;headset samsung J1ace original handsfree earphone j1ace vietnam;belom 1 bulan, bagian headsetnya udah ada yang copot;3
154;headset samsung J1ace original handsfree earphone j1ace vietnam;rusak 1;3
155;headset samsung J1ace original handsfree earphone j1ace vietnam;Barang cepat sampenya.....Good Produk berfungsi baik semuaaa... cuma suaranya lebih kecil dibandingkan ori ,pdhl volume udh mentok... Tp gapapa, sesuai harga...semoga awet.;4
156;headset samsung J1ace original handsfree earphone j1ace vietnam;berfungsi dengan baik, suara lumayan, untuk nelfon jg bisa tp sang penerima telp mendengar suara kresek² yg diakibatkan headset ini,;4
157;headset samsung J1ace original handsfree earphone j1ace vietnam;lumayanlah;4
158;headset samsung J1ace original handsfree earphone j1ace vietnam;lumayan kurang ng3bas;4
159;headset samsung J1ace original handsfree earphone j1ace vietnam;packing rapi dan aman. suara ok. beli 4 ada 1 yg mati sebelah.;4
160;headset samsung J1ace original handsfree earphone j1ace vietnam;Suara bagus kiri kanan, cm mmg tdk keluar bass & stereo nya, wajar lah sesuai dg harganya.;4
161;headset samsung J1ace original handsfree earphone j1ace vietnam;kualitas sesuai harga, yg bagus 1: 5;4
162;headset samsung J1ace original handsfree earphone j1ace vietnam;pelayanan baik, barang sesuai harganya.. ada 2 yang kurang berfungsi baik mungkin pengiriman bisa ditambah buble atau menggunakan dus..;4
163;headset samsung J1ace original handsfree earphone j1ace vietnam;kualitas sesuai harga;4
164;headset samsung J1ace original handsfree earphone j1ace vietnam;Barang bagus;4
165;headset samsung J1ace original handsfree earphone j1ace vietnam;barang bagus.. makasi;5
166;headset samsung J1ace original handsfree earphone j1ace vietnam;sesuai harga lah, lumayan bisa awet asal nggak jatuh, sekali jatuh gampang lepas bagian luarnya, suara nggak sama volumenya, tapi bentuknya nyaman di telinga dan karena suaranya nggak terlalu ngebass jadi nggak bikin telinga sakit;5
167;headset samsung J1ace original handsfree earphone j1ace vietnam;pengiriman cepat.barang sesuai, terimakasih;5
168;headset samsung J1ace original handsfree earphone j1ace vietnam;mantap, bahannya bagus;5
169;headset samsung J1ace original handsfree earphone j1ace vietnam;terima kasih barang bagus. hanya. kurir saja yang lambat;5
170;headset samsung J1ace original handsfree earphone j1ace vietnam;pengiriman cepat, packing rapi.. earphone berfungsi..ok;5
171;headset samsung J1ace original handsfree earphone j1ace vietnam;cepat sampai, semoga barang awet. terima kasih;5
172;headset samsung J1ace original handsfree earphone j1ace vietnam;barang diterima dengan baik dan berfungsi. maaf ga ada gambar. lgsung sold pas nyampe;5
173;headset samsung J1ace original handsfree earphone j1ace vietnam;Sangat bagus dan memuaskan.;5
174;headset samsung J1ace original handsfree earphone j1ace vietnam;sesuai sama harga bila dari suara yg dihasilkan;5
175;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 9;gak sesuai deskripsi;1
176;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 10;Belom 3 hari, speaker kanan udah mati;1
177;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 11;Earphone yang datang ga sesuai ekspektasi yang saya terima. Bermasalah dari yang datang ga lengkap barangnya. Penutup belakang earphone yang ada merk AKG hilang 1.;1
178;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 12;suaranya beda dari ori samsul. dan micnya lumaya noise;1
179;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 13;wasted money, poor sound quality;1
180;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 14;packing rapih, pengiriman tepat waktu, tapi setelah dibandingkan dengan ori (warna hitam), kabel earphone ini lebih tipis dan berwarna abu2 tua. Kualitas suara jauh dibawah yg ori.;3
181;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 15;Kualitas suara mirip original, sepertinya produk ini lebih tepat disebut OEM. Bukan benar benar original headset ketika beli product hp samsung;3
182;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 16;agak keresek2;3
183;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 17;Barangnya bagus, dikasih bintang 3 dulu, nanti balik seminggu kemudian setelah pemakaian.;3
184;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 18;suara bassnya payah;3
185;Samsung AKG 3.5mm earphone EO-IG955 S8 S9 S10 Note 8 Note 19;Suaranya lumayan bagus cuman lebih nge bass dari yg ori;3
186;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;baru 1hari pake yg sebelah kanan mati;1
187;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;Entah kabel atau earphone sebelah kiri mati. Ada solusi untuk garansinya tidak ya?;1
188;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;Suara nya noise banget, kukira suaranya bakal jernih gtu minimal walaupun gda bas nya,, tp berisik banget ini... ini gtw kebenran dapet yg jelek, klo kbeneran dpt yg jelek produknya bisa ditukar ga ya? (bukan bawaan device kok kak,, udah kucoba ke bbrapa device,, dan pke hs lain aman);2
189;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;apaan ini masa barang baru sampe, pas instal kabelny, logo nya malah copot!;2
190;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;bass nya oke sih, ttpi pas volume tinggi suara vokalnya kek ada suara shhh shhh;2
191;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;sedikit kecewa karna suara nya ga ngebass sama sekali.. tapi kalo jernih iya...;2
192;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;suara sebelah kiri mengalami static sound;2
193;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;Lumayan;3
194;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;kualitas suara dengan harga 100rb harusnya bisa lebih baik.;3
195;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;Baru beli 14 desemeber akhir taun udah rusak sebelah bagian kanan mau claim garansi harus ke ig di klik linknya harus daftar udah daftar mau login harus pake password sedangkan daftarnya tanpa password kocak gak recomend dah beli yang murah;1
196;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;headset sebelah kanan off di hari ke 3 pemakaian;1
197;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;Remote pd bagian mic tombolnya eror kadang fungsinya ngepause kadang ngecilin volume, udh baca buku manualnya tetep sama aja bohong;2
198;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;ekpedisinya... payah pengiriman delay..;2
199;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;"untuk harga segitu, lumayan sih. dikuping nyaman, sound nya ""cukup"", sound nya flat, kualitas sound: bass kurang menggelegar & kurang deep, treble nya kurang halus, mid nya kurang detil.";3
200;Knowledge Zenith KZ EDX Pro Basshead Earphone with Mic-black;suara bagus tapi kurang nyaman dipake lama;3
